sequence,translation,emotionbert sentiment,emotionbert confidence,greekbert v2 sentiment,greekbert v2 confidence,confidence diff (enhanced - original)
αβδηριτης,a man of Abdera,Trust,0.4187321364879608,Joy,0.999963641166687,0.5812315046787262
αβλης,not thrown,Fear,0.5107542276382446,Disgust,0.9999611377716064,0.4892069101333618
ᾰβουλια,"want of counsel, thoughtlessness",Fear,0.3574451208114624,Disgust,0.9998815059661864,0.642436385154724
αβουτης,without oxen,Disgust,0.5576844215393066,Fear,0.99883371591568,0.4411492943763734
αβροχιτων,"in soft tunic, softly clad",Joy,0.9559916853904724,Disgust,0.9999079704284668,0.043916285037994385
αβῡδος,Abydos,Joy,0.3791637122631073,Disgust,0.9988625049591064,0.6196987926959991
αγαθωσυνη,"goodness, kindness",Trust,0.9371426105499268,Joy,0.9597139358520508,0.022571325302124023
αγαλμ,"a glory, delight, honour",Trust,0.5697812438011169,Joy,0.9999650716781616,0.4301838278770447
αγαμεμνονιδης,Agamemnon's son,Trust,0.5930285453796387,Joy,0.999574601650238,0.40654605627059937
αγαμια,celibacy,Trust,0.6807228922843933,Joy,0.999940037727356,0.31921714544296265
αγγελιη,"a message, tidings, news",Disgust,0.4568222165107727,Fear,0.9981215596199036,0.5412993431091309
αγγελος,"a messenger, envoy",Surprise,0.9109784960746764,Fear,0.7809790968894958,-0.12999939918518055
αγιοτης,"holiness, sanctity",Disgust,0.5355157852172852,Joy,0.9999696016311646,0.4644538164138794
αγκᾰλισμα,that which is embraced,Joy,0.5654309391975403,Disgust,0.9997758269309998,0.4343448877334595
αγκιστριον,a fish-hook,Fear,0.4282729625701904,Joy,0.5332852005958557,0.10501223802566534
αγκιστρον,a fish-hook,Fear,0.841795027256012,Disgust,0.7698186039924622,-0.0719764232635498
αγκοινη,the bent arm,Fear,0.5098934769630432,Joy,0.9999645948410034,0.4900711178779602
αγκυλοπους,with bent legs,Joy,0.4058504402637481,Fear,0.999790608882904,0.5939401686191559
αγκυρ,anchor,Disgust,0.5763899087905884,Fear,0.999930739402771,0.4235408306121826
αγκων,"the bend of the arm, the elbow",Disgust,0.4715012609958648,Fear,0.931830883026123,0.46032962203025823
αγμος,"a broken cliff, crag",Disgust,0.4506991505622864,Joy,0.9998879432678224,0.549188792705536
αγνευμ,chastity,Disgust,0.7261125445365906,Joy,0.9765557646751404,0.2504432201385498
αγνωσιη,ignorance,Disgust,0.8431562781333923,Joy,0.999953269958496,0.15679699182510365
αγνως,unknown,Trust,0.4922958016395569,Joy,0.9919654130935668,0.4996696114540099
ᾰγορα,an assembly of the people,Disgust,0.736967146396637,Joy,0.9998914003372192,0.2629242539405823
αγοραστης,"the slave who bought provisions for the house, the purveyor",Trust,0.6172928214073181,Joy,0.9645458459854126,0.3472530245780945
αγορητυς,"the gift of speaking, eloquence",Anger,0.7376218438148499,Disgust,0.999969244003296,0.26234740018844616
αγοστος,the flat of the hand,Disgust,0.7862450480461121,Joy,0.999942660331726,0.2136976122856139
αγρειοσυνη,"clownishness, a rude, vagrant life",Joy,0.5823212265968323,Trust,0.996766209602356,0.4144449830055237
αγρειφνα,"a harrow, rake",Fear,0.6777403354644775,Joy,0.9354913234710692,0.2577509880065917
αγριοτης,"wildness, savageness",Anger,0.4213149547576904,Disgust,0.999970316886902,0.5786553621292116
αγροδοτης,a giver of booty,Trust,0.7939921617507935,Disgust,0.999942421913147,0.20595026016235352
αγροιωτης,a countryman,Trust,0.4167161583900451,Disgust,0.9914847016334534,0.5747685432434082
αγροτα,"a country-man, rustic",Joy,0.8738991022109985,Disgust,0.9999499320983888,0.12605082988739025
αγροφυλαξ,a watcher of the country,Fear,0.4951944649219513,Trust,0.9999457597732544,0.5047512948513031
αγυμνᾰσια,want of training,Fear,0.4113178849220276,Joy,0.9999696016311646,0.588651716709137
αγῠρις,"a gathering, crowd",Fear,0.5249847769737244,Disgust,0.9999656677246094,0.474980890750885
αγῠρμος,nan,Fear,0.6993231177330017,Disgust,0.9999396800994872,0.3006165623664855
αγῠρτης,a collector,Fear,0.8285328149795532,Disgust,0.9999498128890992,0.171416997909546
αγχονη,"a throttling, strangling, hanging",Disgust,0.4709897339344024,Fear,0.9959012866020204,0.524911552667618
αγωγιον,the load of a wagon,Fear,0.6383060216903687,Disgust,0.9999552965164183,0.3616492748260497
αγωνῐσις,contest for a prize,Disgust,0.6571519374847412,Joy,0.6187968850135803,-0.03835505247116089
αγωνισμος,rivalry,Sadness,0.4817671179771423,Joy,0.999657392501831,0.5178902745246887
αδει,freedom from fear,Disgust,0.4232166111469269,Joy,0.9995121955871582,0.5762955844402313
αδελφιδους,a brother's,Joy,0.9160227179527284,Disgust,0.924261748790741,0.008239030838012584
αδελφιδη,a brother's,Joy,0.8757239580154419,Disgust,0.9286854863166808,0.0529615283012389
αδελφιδιον,nan,Joy,0.8517985939979553,Disgust,0.9992536902427672,0.1474550962448119
αδελφος,sons of the same mother,Joy,0.663396418094635,Sadness,0.9974144697189332,0.3340180516242982
αδελφοτης,the brotherhood,Disgust,0.4460840225219726,Joy,0.999014973640442,0.5529309511184695
τωδ,Hades,Anger,0.6535277962684631,Joy,0.9995988011360168,0.3460710048675537
αδικημ,"a wrong done, a wrong",Disgust,0.8825569748878479,Joy,0.5305799245834351,-0.35197705030441284
αδος,satio,Disgust,0.4335320591926574,Joy,0.9707233905792236,0.5371913313865662
αδων,nan,Disgust,0.6101691722869873,Joy,0.999959111213684,0.38978993892669667
αειλογια,a continual talking,Sadness,0.3416827917098999,Joy,0.9998456239700316,0.6581628322601317
ασμ,nan,Disgust,0.6343787908554077,Joy,0.9999665021896362,0.3655877113342285
αελλη,"a stormy wind, whirlwind, eddy",Disgust,0.7876480221748352,Joy,0.99995756149292,0.21230953931808483
αελλας,nan,Disgust,0.7772067189216614,Joy,0.9999594688415528,0.22275274991989147
αελλα,eddying,Disgust,0.8422644138336182,Joy,0.9999691247940063,0.15770471096038818
αερομᾰχια,an air-battle,Fear,0.7193507552146912,Disgust,0.9988799691200256,0.2795292139053345
αεσιφροσυνη,"silliness, folly",Disgust,0.8143505454063416,Trust,0.9997915625572203,0.1854410171508788
αδονις,a nightingale,Joy,0.7833667993545532,Disgust,0.9999183416366576,0.21655154228210438
ᾱηρ,"the lower air, the air",Disgust,0.521126389503479,Joy,0.9999653100967408,0.47883892059326183
αησις,a blowing,Disgust,0.6660885810852051,Joy,0.9954853057861328,0.32939672470092773
αητη,nan,Disgust,0.6830185055732727,Joy,0.9999624490737916,0.3169439435005189
αθηρηλοιγος,consumer of ears of corn,Disgust,0.2557876706123352,Joy,0.9999669790267944,0.7441793084144592
αθλητης,a prizefighter,Trust,0.4598971009254455,Joy,0.999962568283081,0.5400654673576355
αθλιοτης,"suffering, wretchedness",Joy,0.7711570858955383,Disgust,0.9999555349349976,0.22879844903945923
αθροισμ,a gathering,Fear,0.7525485157966614,Disgust,0.8085073828697205,0.05595886707305908
αθῡμια,"want of heart, faintheartedness",Disgust,0.9508274793624878,Joy,0.999643325805664,0.04881584644317616
αιγᾰνεη,"a hunting-spear, javelin",Fear,0.4271397590637207,Joy,0.8605280518531799,0.43338829278945923
αιγειρος,the poplar,Joy,0.487684816122055,Trust,0.7252694964408875,0.23758468031883245
αιγελατης,a goatherd,Fear,0.525133490562439,Disgust,0.9999673366546632,0.47483384609222423
αιγιβοσις,a goat-pasture,Disgust,0.4542728960514068,Joy,0.9999562501907348,0.545683354139328
αιγιβοτης,feeding goats,Disgust,0.4773063063621521,Joy,0.9999682903289796,0.5226619839668275
αιγῐνομευς,a goatherd,Sadness,0.4791915118694305,Disgust,0.9996756315231324,0.520484119653702
αιγις,the aegis,Joy,0.535998523235321,Disgust,0.9998645782470704,0.4638660550117494
αιγοκερως,goat-horned,Fear,0.4739939272403717,Disgust,0.999943733215332,0.5259498059749603
αιγοποδης,nan,Fear,0.655609667301178,Disgust,0.9999536275863647,0.34434396028518677
αιδως,"a sense of shame, shame, modesty, self-respect",Trust,0.5850762724876404,Disgust,0.9827672243118286,0.39769095182418823
αιθαλιων,"swarthy, dusky",Disgust,0.881496012210846,Fear,0.9819246530532836,0.10042864084243763
αιθηρ,"ether, the brighter purer air, the sky",Disgust,0.4896076321601867,Fear,0.7312493324279785,0.2416417002677918
αιθουσα,the corridor,Fear,0.6674306988716125,Joy,0.9959480166435242,0.3285173177719116
αιθρη,"clear sky, fair weather",Joy,0.5518761277198792,Fear,0.999980330467224,0.44810420274734486
αιμᾰσια,a wall,Disgust,0.4043789207935333,Joy,0.999801218509674,0.5954222977161406
αιμᾰτοπωτης,a blood-drinker,Sadness,0.6985905766487122,Disgust,0.9952340722084044,0.29664349555969227
αιμορροια,a discharge of blood,Sadness,0.2918684184551239,Joy,0.999966025352478,0.7080976068973541
αιμῠλομητης,of winning wiles,Fear,0.4758795201778412,Joy,0.9999562501907348,0.5240767300128936
αινεσις,praise,Sadness,0.5705969929695129,Joy,0.9999560117721558,0.4293590188026428
αινη,"praise, fame",Sadness,0.3913900554180145,Joy,0.9999604225158693,0.6085703670978547
αινιγμ,"a dark saying, riddle",Surprise,0.6287239193916321,Disgust,0.9338611960411072,0.3051372766494751
αινοβιης,awefully strong,Disgust,0.8347496390342712,Joy,0.8861958980560303,0.05144625902175903
αινοπᾰρις,unlucky Paris,Joy,0.6926712393760681,Disgust,0.9992693066596984,0.30659806728363026
αινοπατηρ,unhappy father,Trust,0.613909125328064,Disgust,0.99993097782135,0.386021852493286
αινος,"a tale, story",Surprise,0.3068028688430786,Joy,0.999823033809662,0.6930201649665834
αιολομητις,full of various wiles,Fear,0.355170726776123,Joy,0.9999672174453736,0.6447964906692507
αιολομιτρης,with glancing,Fear,0.4431057274341583,Joy,0.9994723200798036,0.5563665926456453
αιπολιον,a herd of goats,Fear,0.3948366641998291,Joy,0.988713264465332,0.5938766002655029
αισθημα,perception of,Disgust,0.4115287661552429,Joy,0.9994996786117554,0.5879709124565125
αισθησις,perception by the senses,Sadness,0.618190586566925,Disgust,0.9937939643859864,0.3756033778190614
αισθητηριον,an organ of sense,Trust,0.533216118812561,Disgust,0.9324076771736144,0.39919155836105336
αιστωρ,"unknowing, unconscious",Trust,0.3108409643173218,Joy,0.9999531507492064,0.6891121864318847
αισυμνητεια,an elective monarchy,Fear,0.4181179404258728,Joy,0.5765981078147888,0.15848016738891602
αιτησις,"a request, demand",Joy,0.5611531734466553,Trust,0.9493641257286072,0.3882109522819519
αιτιη,"a charge, accusation",Disgust,0.5014277100563049,Joy,0.9997742772102356,0.49834656715393066
αιχμᾰλωσια,captivity: a body of captives,Disgust,0.5073997378349304,Joy,0.9998835325241088,0.49248379468917836
αιχμᾰλωτις,nan,Trust,0.6837555170059204,Disgust,0.9161714911460876,0.23241597414016724
αιχμη,the point of a spear,Fear,0.6523172855377197,Joy,0.8879854679107666,0.23566818237304688
ακακης,nan,Trust,0.3319254219532013,Joy,0.724826455116272,0.3929010331630707
ακακητᾰ,"guileless, gracious",Joy,0.5264890789985657,Disgust,0.9988503456115724,0.4723612666130067
ᾰκᾰμαντοπους,"untiring of foot, unwearied",Trust,0.8958390355110168,Disgust,0.9999399185180664,0.10410088300704956
ακερσεκομα,with unshorn hair,Fear,0.3932766616344452,Joy,0.9153910875320436,0.5221144258975984
ακη,a point,Disgust,0.6948215365409851,Anger,0.9913840293884276,0.2965624928474425
ακκω,a bugbear,Joy,0.4685094356536865,Disgust,0.999562442302704,0.5310530066490174
ακλεια,ingloriousness,Disgust,0.6453049778938293,Joy,0.9996858835220336,0.35438090562820423
ακμονιον,nan,Joy,0.4637722671031952,Disgust,0.9996861219406128,0.5359138548374176
ακμων,a thunderbolt,Joy,0.3749637603759765,Disgust,0.9999285936355592,0.6249648332595827
ακνηστις,the spine,Trust,0.5463283061981201,Sadness,0.999765932559967,0.4534376263618469
